iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_accuracy,test_accuracy
67,0.5328220129013062,0.08437778800725937,0.45858481526374817,0.19533689320087433,0.5273905992507935,0.08172079175710678,0.46795111894607544,0.19384978711605072,0.5783370137214661,0.6002873778343201
68,0.5276889801025391,0.07892481237649918,0.4311174750328064,0.18385067582130432,0.5222663879394531,0.0835190936923027,0.4567176401615143,0.19710634648799896,0.5995186567306519,0.6178401708602905
69,0.5225717425346375,0.08370330184698105,0.4211122691631317,0.19335606694221497,0.5171664953231812,0.08206509053707123,0.40901872515678406,0.19015400111675262,0.617301344871521,0.6345860362052917
70,0.5174788236618042,0.08030165731906891,0.3705703616142273,0.1897466629743576,0.5120987892150879,0.07827777415513992,0.38886523246765137,0.18033640086650848,0.6337833404541016,0.649264931678772
71,0.5124180316925049,0.07667963951826096,0.35206350684165955,0.17595310509204865,0.5070706605911255,0.08486414700746536,0.36099520325660706,0.18092575669288635,0.6486560702323914,0.659931480884552
72,0.5073965191841125,0.07771787792444229,0.3346066176891327,0.17212161421775818,0.502088725566864,0.09719520807266235,0.3445121943950653,0.16937707364559174,0.6593371033668518,0.6692715883255005
73,0.5024212002754211,0.08338899910449982,0.3207603394985199,0.1640143096446991,0.4971591532230377,0.07638921588659286,0.3357769548892975,0.1771685779094696,0.6684088706970215,0.676478385925293
74,0.49749794602394104,0.07817988842725754,0.31181904673576355,0.17549750208854675,0.49228736758232117,0.08583890646696091,0.33341237902641296,0.17801392078399658,0.6756672263145447,0.680745005607605
75,0.49263235926628113,0.0776061862707138,0.309551477432251,0.17156514525413513,0.48747822642326355,0.08252386748790741,0.3173559010028839,0.18902097642421722,0.6797639727592468,0.6908146142959595
76,0.4878292381763458,0.08212011307477951,0.2948112189769745,0.17787331342697144,0.48273608088493347,0.0759013369679451,0.2924388349056244,0.185500830411911,0.6901031732559204,0.7047087550163269
77,0.48309290409088135,0.07681179791688919,0.2809145450592041,0.16883093118667603,0.47806471586227417,0.075127974152565,0.2804943323135376,0.1784909963607788,0.7037227153778076,0.7121366262435913
78,0.47842711210250854,0.07315430045127869,0.2698887884616852,0.16305559873580933,0.4734672009944916,0.07142181694507599,0.26376286149024963,0.1753884255886078,0.7111519575119019,0.7190560698509216
79,0.47383514046669006,0.08112486451864243,0.2543129026889801,0.15805773437023163,0.4689463675022125,0.0717017650604248,0.2522473633289337,0.16340114176273346,0.7182251214981079,0.7264618277549744
80,0.4693194329738617,0.07444720715284348,0.2442697137594223,0.1523684710264206,0.46450433135032654,0.06466096639633179,0.22807016968727112,0.17706312239170074,0.7254692316055298,0.7380788922309875
