iteration,train_loss,train_precision,train_recall,train_F1,test_loss,test_precision,test_recall,test_F1,train_acc,test_acc
66,0.1542399376630783,0.9951459169387817,0.40419796109199524,0.8941443562507629,0.16885146498680115,0.3358607590198517,0.4635387361049652,0.8344135284423828,0.9763545989990234,0.9650492072105408
67,0.15280526876449585,0.9951981902122498,0.40477707982063293,0.8950598835945129,0.16761359572410583,0.34626829624176025,0.4808739423751831,0.8370923399925232,0.9764685034751892,0.9659003019332886
68,0.15140850841999054,0.9953482151031494,0.42007219791412354,0.8977593183517456,0.16640739142894745,0.3521946966648102,0.48496824502944946,0.8216468095779419,0.9773040413856506,0.9661656022071838
69,0.1500481814146042,0.9954198002815247,0.4229523539543152,0.8921405673027039,0.16523252427577972,0.35729852318763733,0.49374017119407654,0.8231579065322876,0.9775176644325256,0.9664419293403625
70,0.1487225741147995,0.9954891800880432,0.4308888614177704,0.8937748074531555,0.1641220897436142,0.3574662208557129,0.4942884147167206,0.8238612413406372,0.9778404235839844,0.9665745496749878
71,0.14742974936962128,0.9954891800880432,0.43129241466522217,0.8942549228668213,0.16307362914085388,0.3577987849712372,0.4986559748649597,0.8286899328231812,0.977911651134491,0.967060923576355
72,0.1461682766675949,0.9954919815063477,0.43510866165161133,0.8992893695831299,0.16204454004764557,0.35696250200271606,0.4986559748649597,0.8279871344566345,0.9783483743667603,0.9668508768081665
73,0.1449374556541443,0.9954919815063477,0.43510866165161133,0.8992893695831299,0.1610260009765625,0.3569449782371521,0.4986559748649597,0.8279967308044434,0.9783483743667603,0.9668398499488831
74,0.1437358856201172,0.9954919815063477,0.43510866165161133,0.8992893695831299,0.16005080938339233,0.36686068773269653,0.511096179485321,0.8251633644104004,0.9783483743667603,0.9673925042152405
75,0.142561674118042,0.9956245422363281,0.445900022983551,0.8953264951705933,0.15911902487277985,0.3716263473033905,0.5204377174377441,0.8266274929046631,0.9789085388183594,0.967724084854126
76,0.14141380786895752,0.9956879615783691,0.4544502794742584,0.8976825475692749,0.15820196270942688,0.3715633451938629,0.5207401514053345,0.8268082141876221,0.9793500304222107,0.9677683115005493
77,0.14029157161712646,0.9956879615783691,0.45468956232070923,0.8979339599609375,0.15731604397296906,0.3712526559829712,0.5208654999732971,0.8265962600708008,0.979407012462616,0.9677351713180542
78,0.13919375836849213,0.9956886172294617,0.4548015892505646,0.898065447807312,0.1564951092004776,0.3706675171852112,0.5208654999732971,0.8259382247924805,0.9794402122497559,0.9676688313484192
79,0.13811857998371124,0.9956886172294617,0.4548015892505646,0.898065447807312,0.1557186096906662,0.3703676164150238,0.5208654999732971,0.8256586194038391,0.9794402122497559,0.9676246047019958
80,0.13706573843955994,0.9956510066986084,0.4548015892505646,0.8980511426925659,0.15495826303958893,0.3703264892101288,0.5208654999732971,0.8256239295005798,0.9794354438781738,0.9676024913787842
81,0.13603462278842926,0.9956510066986084,0.4548015892505646,0.8980511426925659,0.1542365550994873,0.3693943917751312,0.5208654999732971,0.8244720101356506,0.9794354438781738,0.9674588441848755
82,0.13502401113510132,0.9956510066986084,0.4548015892505646,0.8980511426925659,0.15355588495731354,0.3695800304412842,0.5235136151313782,0.8273616433143616,0.9794354438781738,0.9675251245498657
83,0.1340326964855194,0.9956510066986084,0.4576817452907562,0.9025233387947083,0.15288406610488892,0.367988646030426,0.5237491130828857,0.8260147571563721,0.9796490669250488,0.9673372507095337
84,0.1330605298280716,0.9956510066986084,0.45803606510162354,0.9029583930969238,0.15224359929561615,0.3669739067554474,0.5241533517837524,0.825324296951294,0.9797202944755554,0.9673040509223938
85,0.1321067363023758,0.9956510066986084,0.45853209495544434,0.9035088419914246,0.15166930854320526,0.3663959205150604,0.5241533517837524,0.8246307969093323,0.9798722267150879,0.9671604037284851
86,0.13117024302482605,0.9956510066986084,0.45853209495544434,0.9035088419914246,0.15112479031085968,0.37489795684814453,0.5417598485946655,0.8258170485496521,0.9798722267150879,0.9675693511962891
87,0.13025103509426117,0.995775043964386,0.4745331406593323,0.9063704609870911,0.15058313310146332,0.3741600811481476,0.542087972164154,0.8251911401748657,0.9805557727813721,0.967503011226654
88,0.12934845685958862,0.995775043964386,0.47495248913764954,0.9069041013717651,0.15005819499492645,0.3760882318019867,0.5459072589874268,0.8303186297416687,0.980636477470398,0.9676246047019958
89,0.12846128642559052,0.9958320260047913,0.4780111014842987,0.9018030166625977,0.149534672498703,0.3757530450820923,0.5459908246994019,0.8299790620803833,0.9809165596961975,0.9675693511962891
90,0.12758946418762207,0.9957631230354309,0.4780430793762207,0.9018106460571289,0.14902432262897491,0.3749224543571472,0.5459908246994019,0.829038143157959,0.9809165596961975,0.9674477577209473
91,0.12673257291316986,0.9957631230354309,0.4780430793762207,0.9018106460571289,0.14856880903244019,0.3730223774909973,0.5460904836654663,0.8270033001899719,0.9809165596961975,0.9672266840934753
92,0.12588968873023987,0.9957631230354309,0.47825294733047485,0.9020659923553467,0.1481461226940155,0.3767421543598175,0.5548624396324158,0.8266561627388,0.9809687733650208,0.9672598838806152
93,0.12506084144115448,0.9958211779594421,0.48618945479393005,0.9034075736999512,0.14772126078605652,0.37581607699394226,0.5553551912307739,0.8253529667854309,0.9812915921211243,0.9672709107398987
94,0.1242455393075943,0.9958211779594421,0.4866376519203186,0.9039044380187988,0.14732030034065247,0.37399300932884216,0.5553551912307739,0.8231746554374695,0.9814055562019348,0.9667956233024597
95,0.1234428733587265,0.9955868721008301,0.4866376519203186,0.9038109183311462,0.1469491422176361,0.37476277351379395,0.5625607967376709,0.8173908591270447,0.9813722968101501,0.9664640426635742
96,0.12265297770500183,0.9956464767456055,0.4930380582809448,0.903662919998169,0.14658552408218384,0.3740912675857544,0.5626025199890137,0.8165634274482727,0.9816096425056458,0.966198742389679
97,0.12187530100345612,0.9956474304199219,0.493054062128067,0.9036799073219299,0.146320179104805,0.3724355697631836,0.5627114772796631,0.8147685527801514,0.9816144108772278,0.9657344818115234
98,0.12110937386751175,0.9956961870193481,0.4932669997215271,0.903901994228363,0.14589037001132965,0.3754761815071106,0.5719040036201477,0.8137530088424683,0.981666624546051,0.9659003019332886
99,0.12035506218671799,0.9957535862922668,0.5017076134681702,0.9057503342628479,0.14562828838825226,0.3738550841808319,0.5724081993103027,0.8125330209732056,0.9820985794067383,0.9657123684883118
100,0.1196114644408226,0.9957535862922668,0.5021622180938721,0.9062272310256958,0.1454034447669983,0.3738144040107727,0.5724081993103027,0.8124722838401794,0.9822125434875488,0.9653586745262146
101,0.11887907236814499,0.9957535862922668,0.5021622180938721,0.9062272310256958,0.1451299786567688,0.3733082115650177,0.5724081993103027,0.8117979168891907,0.9822125434875488,0.9649718403816223
102,0.11815735697746277,0.9957228302955627,0.5021622180938721,0.9062142968177795,0.14487510919570923,0.372958779335022,0.5729627013206482,0.8118296265602112,0.9822077751159668,0.9648723602294922
103,0.11744551360607147,0.9956014156341553,0.5026518702507019,0.9066569209098816,0.14462880790233612,0.37152525782585144,0.573271632194519,0.8101537823677063,0.982302725315094,0.9645075798034668
104,0.11674418300390244,0.9955694675445557,0.5029863119125366,0.9070068597793579,0.1444290727376938,0.36826300621032715,0.573271632194519,0.806090235710144,0.9823691844940186,0.9639549255371094
105,0.11605226248502731,0.9955694675445557,0.5029863119125366,0.9070068597793579,0.14432239532470703,0.36773568391799927,0.5821670293807983,0.7970449328422546,0.9823691844940186,0.9634795784950256
106,0.11537028104066849,0.9955694675445557,0.5032322406768799,0.9072574973106384,0.14415530860424042,0.36632612347602844,0.5859927535057068,0.7981716990470886,0.9824213981628418,0.9633469581604004
107,0.11469718813896179,0.9954566359519958,0.5062113404273987,0.9106943607330322,0.14411920309066772,0.369953989982605,0.5947647094726562,0.7978463172912598,0.9826540350914001,0.9629711508750916
108,0.11403340101242065,0.9954094290733337,0.5141478776931763,0.9118263721466064,0.1440112590789795,0.3697153329849243,0.597316563129425,0.7997686862945557,0.9828771352767944,0.9627832174301147
109,0.11337815225124359,0.9953649640083313,0.5167171955108643,0.9155329465866089,0.14397412538528442,0.37024161219596863,0.5978403091430664,0.8007605671882629,0.9830859899520874,0.9627611637115479
110,0.11273234337568283,0.9950650930404663,0.5171571373939514,0.9158298969268799,0.14383114874362946,0.3728388249874115,0.6114862561225891,0.8024374842643738,0.983161985874176,0.9628716707229614
111,0.1120942085981369,0.995057225227356,0.5295938849449158,0.9215962886810303,0.1436840295791626,0.3724764287471771,0.6076796054840088,0.7992351651191711,0.9838692545890808,0.9622416496276855
112,0.11146790534257889,0.9950882792472839,0.5262869596481323,0.9181258678436279,0.14401043951511383,0.3714381158351898,0.6120450496673584,0.8009532690048218,0.9836366772651672,0.9619100093841553
113,0.11084774136543274,0.9950172305107117,0.5301100611686707,0.9221104979515076,0.14371900260448456,0.3704891800880432,0.6120450496673584,0.7991024255752563,0.9839784502983093,0.9615342020988464
114,0.11024494469165802,0.9950882792472839,0.5301100611686707,0.92214035987854,0.14401260018348694,0.3690206706523895,0.6131978034973145,0.7975469827651978,0.9839879870414734,0.9611583948135376
115,0.10963629931211472,0.9947714805603027,0.531097412109375,0.922951340675354,0.1436377763748169,0.3697595000267029,0.6126627326011658,0.7979897260665894,0.9841588735580444,0.9611583948135376
